name;common_name;iso_639_1;iso_639_2b;iso_639_2t;iso_639_3;is_common;type
Temiar;Temiar;;;;tea;false;living
Tetete;Tetete;;;;teb;false;extinct
Terik;Terik;;;;tec;false;living
Tepo Krumen;Tepo Krumen;;;;ted;false;living
Huehuetla Tepehua;Huehuetla Tepehua;;;;tee;false;living
Teressa;Teressa;;;;tef;false;living
Teke-Tege;Teke-Tege;;;;teg;false;living
Tehuelche;Tehuelche;;;;teh;false;living
Torricelli;Torricelli;;;;tei;false;living
Ibali Teke;Ibali Teke;;;;tek;false;living
Telugu;Telugu;te;tel;tel;tel;true;living
Timne;Timne;;tem;tem;tem;false;living
Tama (Colombia);Tama (Colombia);;;;ten;false;extinct
Teso;Teso;;;;teo;false;living
Tepecano;Tepecano;;;;tep;false;extinct
Temein;Temein;;;;teq;false;living
Tereno;Tereno;;ter;ter;ter;false;living
Tengger;Tengger;;;;tes;false;living
Tetum;Tetum;;tet;tet;tet;false;living
Soo;Soo;;;;teu;false;living
Teor;Teor;;;;tev;false;living
Tewa (USA);Tewa (USA);;;;tew;false;living
Tennet;Tennet;;;;tex;false;living
Tulishi;Tulishi;;;;tey;false;living
Tofin Gbe;Tofin Gbe;;;;tfi;false;living
Tanaina;Tanaina;;;;tfn;false;living
Tefaro;Tefaro;;;;tfo;false;living
Teribe;Teribe;;;;tfr;false;living
Ternate;Ternate;;;;tft;false;living
Sagalla;Sagalla;;;;tga;false;living
Tobilung;Tobilung;;;;tgb;false;living
Tigak;Tigak;;;;tgc;false;living
Ciwogai;Ciwogai;;;;tgd;false;living
Eastern Gorkha Tamang;Eastern Gorkha Tamang;;;;tge;false;living
Chalikha;Chalikha;;;;tgf;false;living
Tangga;Tangga;;;;tgg;false;living
Tobagonian Creole English;Tobagonian Creole English;;;;tgh;false;living
Lawunuia;Lawunuia;;;;tgi;false;living
Tajik;Tajik;tg;tgk;tgk;tgk;false;living
Tagalog;Tagalog;tl;tgl;tgl;tgl;false;living
Tandaganon;Tandaganon;;;;tgn;false;living
Sudest;Sudest;;;;tgo;false;living
Tangoa;Tangoa;;;;tgp;false;living
Tring;Tring;;;;tgq;false;living
Tareng;Tareng;;;;tgr;false;living
Nume;Nume;;;;tgs;false;living
Central Tagbanwa;Central Tagbanwa;;;;tgt;false;living
Tanggu;Tanggu;;;;tgu;false;living
Tingui-Boto;Tingui-Boto;;;;tgv;false;extinct
Tagwana Senoufo;Tagwana Senoufo;;;;tgw;false;living
Tagish;Tagish;;;;tgx;false;living
Togoyo;Togoyo;;;;tgy;false;extinct
Thai;Thai;th;tha;tha;tha;true;living
Tai Hang Tong;Tai Hang Tong;;;;thc;false;living
Thayore;Thayore;;;;thd;false;living
Chitwania Tharu;Chitwania Tharu;;;;the;false;living
Thangmi;Thangmi;;;;thf;false;living
Northern Tarahumara;Northern Tarahumara;;;;thh;false;living
Tai Long;Tai Long;;;;thi;false;living
Tharaka;Tharaka;;;;thk;false;living
Dangaura Tharu;Dangaura Tharu;;;;thl;false;living
Aheu;Aheu;;;;thm;false;living
Thachanadan;Thachanadan;;;;thn;false;living
Thompson;Thompson;;;;thp;false;living
Kochila Tharu;Kochila Tharu;;;;thq;false;living
Rana Tharu;Rana Tharu;;;;thr;false;living
Thakali;Thakali;;;;ths;false;living
Tahltan;Tahltan;;;;tht;false;living
Thuri;Thuri;;;;thu;false;living
Tahaggart Tamahaq;Tahaggart Tamahaq;;;;thv;false;living
Thudam;Thudam;;;;thw;false;living
The;The;;;;thx;false;living
Tha;Tha;;;;thy;false;living
Tayart Tamajeq;Tayart Tamajeq;;;;thz;false;living
Tidikelt Tamazight;Tidikelt Tamazight;;;;tia;false;living
Tira;Tira;;;;tic;false;living
Tidong;Tidong;;;;tid;false;living
Tifal;Tifal;;;;tif;false;living
Tigre;Tigre;;tig;tig;tig;false;living
Timugon Murut;Timugon Murut;;;;tih;false;living
Tiene;Tiene;;;;tii;false;living
Tilung;Tilung;;;;tij;false;living
Tikar;Tikar;;;;tik;false;living
Tillamook;Tillamook;;;;til;false;extinct
Timbe;Timbe;;;;tim;false;living
Tindi;Tindi;;;;tin;false;living
Teop;Teop;;;;tio;false;living
Trimuris;Trimuris;;;;tip;false;living
Tiéfo;Tiéfo;;;;tiq;false;living
Tigrinya;Tigrinya;ti;tir;tir;tir;false;living
Masadiit Itneg;Masadiit Itneg;;;;tis;false;living
Tinigua;Tinigua;;;;tit;false;living
Adasen;Adasen;;;;tiu;false;living
Tiv;Tiv;;tiv;tiv;tiv;false;living
Tiwi;Tiwi;;;;tiw;false;living
Southern Tiwa;Southern Tiwa;;;;tix;false;living
Tiruray;Tiruray;;;;tiy;false;living
Tai Hongjin;Tai Hongjin;;;;tiz;false;living
Tajuasohn;Tajuasohn;;;;tja;false;living
Tunjung;Tunjung;;;;tjg;false;living
Northern Tujia;Northern Tujia;;;;tji;false;living
Timucua;Timucua;;;;tjm;false;extinct
Tonjon;Tonjon;;;;tjn;false;extinct
Temacine Tamazight;Temacine Tamazight;;;;tjo;false;living
Southern Tujia;Southern Tujia;;;;tjs;false;living
Tjurruru;Tjurruru;;;;tju;false;extinct
Truká;Truká;;;;tka;false;extinct
Buksa;Buksa;;;;tkb;false;living
Tukudede;Tukudede;;;;tkd;false;living
Takwane;Takwane;;;;tke;false;living
Tukumanféd;Tukumanféd;;;;tkf;false;extinct
Tesaka Malagasy;Tesaka Malagasy;;;;tkg;false;living
Tokelau;Tokelau;;tkl;tkl;tkl;false;living
Takelma;Takelma;;;;tkm;false;extinct
Toku-No-Shima;Toku-No-Shima;;;;tkn;false;living
Tikopia;Tikopia;;;;tkp;false;living
Tee;Tee;;;;tkq;false;living
Tsakhur;Tsakhur;;;;tkr;false;living
Takestani;Takestani;;;;tks;false;living
Kathoriya Tharu;Kathoriya Tharu;;;;tkt;false;living
Upper Necaxa Totonac;Upper Necaxa Totonac;;;;tku;false;living
Teanu;Teanu;;;;tkw;false;living
Tangko;Tangko;;;;tkx;false;living
Takua;Takua;;;;tkz;false;living
Southwestern Tepehuan;Southwestern Tepehuan;;;;tla;false;living
Tobelo;Tobelo;;;;tlb;false;living
Yecuatla Totonac;Yecuatla Totonac;;;;tlc;false;living
Talaud;Talaud;;;;tld;false;living
Telefol;Telefol;;;;tlf;false;living
Tofanma;Tofanma;;;;tlg;false;living
Klingon;Klingon;;tlh;tlh;tlh;false;constructed
Tlingit;Tlingit;;tli;tli;tli;false;living
Talinga-Bwisi;Talinga-Bwisi;;;;tlj;false;living
Taloki;Taloki;;;;tlk;false;living
Tetela;Tetela;;;;tll;false;living
Tolomako;Tolomako;;;;tlm;false;living
Talondo';Talondo';;;;tln;false;living
Talodi;Talodi;;;;tlo;false;living
Filomena Mata-Coahuitlán Totonac;Filomena Mata-Coahuitlán Totonac;;;;tlp;false;living
Tai Loi;Tai Loi;;;;tlq;false;living
Talise;Talise;;;;tlr;false;living
Tambotalo;Tambotalo;;;;tls;false;living
Teluti;Teluti;;;;tlt;false;living
Tulehu;Tulehu;;;;tlu;false;living
Taliabu;Taliabu;;;;tlv;false;living
South Wemale;South Wemale;;;;tlw;false;living
Khehek;Khehek;;;;tlx;false;living
Talysh;Talysh;;;;tly;false;living
Tama (Chad);Tama (Chad);;;;tma;false;living
Katbol;Katbol;;;;tmb;false;living
Tumak;Tumak;;;;tmc;false;living
Haruai;Haruai;;;;tmd;false;living
Tremembé;Tremembé;;;;tme;false;extinct
Toba-Maskoy;Toba-Maskoy;;;;tmf;false;living
Ternateño;Ternateño;;;;tmg;false;extinct
Tamashek;Tamashek;;tmh;tmh;tmh;false;living
Tutuba;Tutuba;;;;tmi;false;living
Samarokena;Samarokena;;;;tmj;false;living
Northwestern Tamang;Northwestern Tamang;;;;tmk;false;living
Tamnim Citak;Tamnim Citak;;;;tml;false;living
Tai Thanh;Tai Thanh;;;;tmm;false;living
Taman (Indonesia);Taman (Indonesia);;;;tmn;false;living
Temoq;Temoq;;;;tmo;false;living
Tai Mène;Tai Mène;;;;tmp;false;living
Tumleo;Tumleo;;;;tmq;false;living
Jewish Babylonian Aramaic (ca. 200-1200 CE);Jewish Babylonian Aramaic (ca. 200-1200 CE);;;;tmr;false;extinct
Tima;Tima;;;;tms;false;living
Tasmate;Tasmate;;;;tmt;false;living
Iau;Iau;;;;tmu;false;living
Tembo (Motembo);Tembo (Motembo);;;;tmv;false;living
Temuan;Temuan;;;;tmw;false;living
Tami;Tami;;;;tmy;false;living
Tamanaku;Tamanaku;;;;tmz;false;extinct
Tacana;Tacana;;;;tna;false;living
Western Tunebo;Western Tunebo;;;;tnb;false;living
Tanimuca-Retuarã;Tanimuca-Retuarã;;;;tnc;false;living
Angosturas Tunebo;Angosturas Tunebo;;;;tnd;false;living
